iter	Passed	Remaining
0	133	133758
1	135	67390
2	135	45144
3	136	34047
4	137	27364
5	138	22920
6	139	19761
7	140	17377
8	140	15517
9	141	14038
10	142	12814
11	143	11801
12	144	10943
13	144	10206
14	145	9565
15	146	9010
16	147	8518
17	148	8078
18	148	7688
19	149	7335
20	150	7015
21	151	6724
22	152	6459
23	152	6217
24	153	5992
25	154	5783
26	155	5593
27	156	5415
28	156	5248
29	157	5094
30	158	4948
31	159	4812
32	159	4682
33	160	4561
34	161	4448
35	162	4342
36	162	4242
37	163	4147
38	164	4056
39	165	3969
40	166	3885
41	166	3808
42	167	3732
43	168	3661
44	169	3592
45	170	3527
46	170	3465
47	171	3408
48	172	3349
49	173	3293
50	174	3240
51	174	3187
52	175	3137
53	176	3089
54	177	3043
55	177	2997
56	178	2954
57	179	2913
58	180	2872
59	180	2833
60	181	2797
61	182	2763
62	183	2728
63	184	2694
64	185	2665
65	186	2634
66	187	2606
67	187	2572
68	188	2544
69	189	2517
70	190	2491
71	191	2466
72	192	2443
73	193	2419
74	194	2396
75	195	2374
76	196	2352
77	197	2333
78	198	2312
79	199	2293
80	200	2274
81	201	2253
82	202	2233
83	203	2216
84	204	2196
85	205	2178
86	205	2161
87	206	2145
88	207	2127
89	208	2111
90	209	2094
91	210	2079
92	211	2063
93	212	2049
94	213	2035
95	214	2021
96	215	2008
97	216	1995
98	217	1982
99	218	1969
100	219	1955
101	220	1938
102	221	1926
103	222	1913
104	222	1900
105	223	1888
106	224	1876
107	225	1864
108	226	1854
109	227	1843
110	228	1833
111	230	1825
112	231	1815
113	232	1805
114	233	1793
115	233	1780
116	234	1770
117	235	1759
118	236	1749
119	237	1739
120	238	1731
121	239	1721
122	239	1709
123	240	1700
124	241	1692
125	242	1683
126	243	1675
127	244	1665
128	245	1657
129	246	1647
130	247	1639
131	248	1631
132	248	1622
133	249	1614
134	250	1606
135	251	1599
136	252	1592
137	253	1583
138	254	1575
139	255	1567
140	256	1559
141	256	1552
142	257	1544
143	258	1536
144	259	1529
145	260	1521
146	261	1514
147	262	1508
148	263	1502
149	264	1498
150	265	1492
151	266	1485
152	267	1479
153	268	1473
154	269	1466
155	269	1459
156	270	1453
157	271	1447
158	272	1440
159	273	1434
160	274	1428
161	274	1421
162	275	1415
163	276	1408
164	277	1403
165	278	1398
166	279	1393
167	280	1387
168	281	1382
169	282	1377
170	283	1373
171	284	1368
172	285	1363
173	286	1359
174	287	1353
175	288	1349
176	288	1343
177	289	1338
178	290	1332
179	291	1327
180	291	1320
181	292	1315
182	293	1310
183	294	1305
184	295	1300
185	295	1295
186	296	1290
187	297	1286
188	298	1281
189	299	1277
190	300	1273
191	301	1270
192	302	1265
193	303	1262
194	304	1259
195	305	1254
196	306	1251
197	307	1247
198	308	1243
199	309	1239
200	310	1235
201	311	1232
202	313	1228
203	314	1225
204	315	1221
205	316	1218
206	317	1215
207	318	1213
208	319	1210
209	321	1208
210	322	1205
211	323	1201
212	324	1198
213	325	1194
214	326	1190
215	326	1186
216	327	1182
217	328	1177
218	329	1173
219	329	1169
220	330	1165
221	331	1161
222	332	1157
223	332	1153
224	333	1148
225	334	1144
226	335	1140
227	335	1136
228	336	1132
229	337	1129
230	337	1125
231	338	1121
232	339	1117
233	340	1114
234	341	1110
235	341	1106
236	342	1102
237	343	1098
238	343	1095
239	344	1091
240	345	1087
241	346	1084
242	346	1080
243	347	1077
244	348	1074
245	349	1070
246	350	1067
247	350	1063
248	351	1060
249	352	1057
250	353	1053
251	353	1050
252	354	1047
253	355	1043
254	356	1040
255	356	1036
256	357	1034
257	358	1031
258	359	1028
259	360	1024
260	360	1021
261	361	1018
262	362	1015
263	363	1012
264	363	1008
265	364	1005
266	365	1002
267	366	999
268	366	996
269	367	993
270	368	990
271	369	987
272	369	984
273	370	981
274	371	978
275	371	975
276	372	972
277	373	970
278	374	967
279	375	964
280	376	962
281	376	959
282	377	956
283	378	954
284	379	951
285	379	948
286	380	945
287	381	943
288	382	940
289	382	937
290	383	934
291	384	932
292	385	929
293	386	926
294	386	924
295	387	921
296	388	918
297	388	916
298	389	913
299	390	910
300	391	908
301	391	905
302	392	903
303	393	901
304	394	898
305	395	897
306	396	894
307	397	892
308	398	890
309	399	888
310	400	886
311	401	884
312	402	882
313	403	880
314	404	878
315	404	876
316	405	874
317	406	871
318	407	869
319	408	867
320	409	865
321	410	863
322	410	861
323	411	859
324	412	856
325	413	854
326	414	852
327	415	850
328	415	848
329	417	846
330	418	845
331	418	842
332	419	840
333	420	838
334	421	836
335	422	834
336	423	832
337	423	830
338	424	828
339	425	826
340	426	824
341	427	822
342	428	820
343	428	818
344	429	815
345	430	813
346	431	811
347	432	809
348	433	807
349	433	805
350	434	803
351	435	801
352	436	799
353	436	797
354	437	795
355	438	793
356	439	791
357	440	789
358	440	787
359	441	785
360	442	783
361	443	782
362	444	780
363	445	778
364	446	776
365	447	775
366	448	773
367	449	771
368	450	769
369	450	767
370	451	765
371	452	763
372	453	762
373	454	760
374	454	758
375	455	756
376	456	754
377	457	753
378	458	751
379	459	749
380	460	747
381	460	745
382	461	743
383	462	741
384	463	740
385	464	738
386	465	737
387	466	735
388	467	733
389	468	732
390	468	730
391	469	728
392	470	726
393	471	724
394	472	723
395	473	721
396	473	719
397	474	717
398	475	716
399	476	714
400	477	712
401	477	710
402	478	709
403	479	707
404	480	705
405	481	703
406	481	702
407	482	700
408	483	698
409	484	696
410	484	695
411	485	693
412	486	691
413	487	689
414	488	688
415	489	686
416	489	684
417	490	683
418	491	681
419	492	679
420	493	678
421	493	676
422	494	674
423	495	673
424	496	671
425	497	669
426	497	668
427	498	666
428	499	664
429	500	662
430	500	661
431	501	659
432	502	657
433	503	656
434	503	654
435	504	652
436	505	651
437	506	649
438	507	648
439	508	647
440	509	645
441	510	644
442	511	642
443	512	641
444	512	639
445	513	637
446	514	636
447	515	634
448	515	633
449	516	631
450	517	629
451	518	628
452	518	626
453	519	624
454	520	623
455	521	621
456	521	620
457	522	618
458	523	617
459	524	615
460	525	613
461	525	612
462	526	610
463	527	609
464	528	607
465	528	605
466	529	604
467	530	602
468	531	601
469	531	599
470	532	598
471	533	596
472	534	595
473	534	593
474	535	591
475	536	590
476	537	588
477	537	587
478	538	585
479	539	584
480	540	582
481	540	581
482	541	579
483	542	578
484	543	576
485	543	575
486	544	573
487	545	572
488	546	570
489	546	569
490	547	568
491	548	566
492	549	565
493	550	563
494	550	562
495	551	560
496	552	559
497	553	557
498	553	556
499	554	554
500	555	553
501	556	551
502	556	550
503	557	548
504	558	547
505	559	545
506	559	544
507	560	543
508	561	541
509	562	540
510	563	538
511	563	537
512	564	536
513	565	534
514	566	533
515	567	531
516	567	530
517	568	529
518	569	527
519	570	526
520	571	525
521	572	523
522	572	522
523	573	521
524	574	519
525	575	518
526	576	517
527	577	516
528	578	515
529	579	513
530	580	512
531	580	511
532	581	509
533	582	508
534	583	507
535	584	505
536	585	504
537	586	503
538	586	502
539	587	500
540	588	499
541	589	498
542	590	496
543	591	495
544	592	494
545	592	493
546	593	491
547	594	490
548	595	489
549	596	487
550	597	486
551	598	485
552	598	484
553	599	482
554	600	481
555	601	480
556	602	479
557	603	477
558	604	476
559	605	475
560	605	474
561	606	472
562	607	471
